TODO (@author fdietz): addressbookInterface doesn't exist anymore (use AddressbookController instead);AddressbookPanel.java;columba-1.0-r/src/addressbook/Core/org/columba/addressbook/gui;161;Technical Debt
TODO (@author fdietz): i18n;ASpellPlugin.java;columba-1.0-r/src/columba/Core/org/columba/Core/externaltools;54;Technical Debt
TODO (@author fdietz):: implement;FindAction.java;columba-1.0-r/src/columba/Core/org/columba/Core/gui/action;54;Technical Debt
TODO (@author fdietz): implement;FindAgainAction.java;columba-1.0-r/src/columba/Core/org/columba/Core/gui/action;39;Technical Debt
TODO (@author fdietz): implement;PrintSetupAction.java;columba-1.0-r/src/columba/Core/org/columba/Core/gui/action;43;Technical Debt
Its better to call the Shutdownmanager;ExitAction.java;columba-1.0-r/src/columba/Core/org/columba/Core/gui/action;68;Technical Debt
TODO (@author fdietz): until we can get all the settings update;GeneralOptionsDialog.java;columba-1.0-r/src/columba/Core/org/columba/Core/gui/config;468;Technical Debt
TODO (@author fdietz): i18n;ExternalToolsDialog.java;columba-1.0-r/src/columba/Core/org/columba/Core/gui/externaltools;113;Technical Debt
TODO (@author fdietz): i18n;ExternalToolsDialog.java;columba-1.0-r/src/columba/Core/org/columba/Core/gui/externaltools;119;Technical Debt
TODO (@author fdietz): i18n;ExternalToolsDialog.java;columba-1.0-r/src/columba/Core/org/columba/Core/gui/externaltools;92;Technical Debt
TODO (@author fdietz): i18n;ExternalToolsWizardLauncher.java;columba-1.0-r/src/columba/Core/org/columba/Core/gui/externaltools;98;Technical Debt
TODO: fix updateActions;FocusManager.java;columba-1.0-r/src/columba/Core/org/columba/Core/gui/focus;134;Technical Debt
* TODO (@author fdietz): adapter only --> will be removed!   * @return;FrameMediator.java;columba-1.0-r/src/columba/Core/org/columba/Core/gui/frame;69-72;Technical Debt
TODO (@author fdietz): add import feature;ProfileManagerDialog.java;columba-1.0-r/src/columba/Core/org/columba/Core/gui/profiles;350;Technical Debt
TODO (@author fdietz): add export feature;ProfileManagerDialog.java;columba-1.0-r/src/columba/Core/org/columba/Core/gui/profiles;366;Technical Debt
bug #996381 (fdietz)- directories only!!;ProfileChooserDialog.java;columba-1.0-r/src/columba/Core/org/columba/Core/gui/profiles;273;Technical Debt
bug #996381 (fdietz)- directories only!!;ProfileManagerDialog.java;columba-1.0-r/src/columba/Core/org/columba/Core/gui/profiles;289;Technical Debt
TODO (@author fdietz): i18n;StatusBar.java;columba-1.0-r/src/columba/Core/org/columba/Core/gui/statusbar;437;Technical Debt
TODO (@author fdietz): i18n;StatusBar.java;columba-1.0-r/src/columba/Core/org/columba/Core/gui/statusbar;441;Technical Debt
* Toolbar which uses xml files to generate itself.  * <p>  * TODO: separate code which creates the toolbar from the swing JToolBar.  *   * @author fdietz;ColumbaToolBar.java;columba-1.0-r/src/columba/Core/org/columba/Core/gui/toolbar;35-41;Technical Debt
TODO: use UndoableEditEvent to make this really work;CTextField.java;columba-1.0-r/src/columba/Core/org/columba/Core/gui/util;105;Technical Debt
TODO: use UndoableEditEvent to make this really work;CTextField.java;columba-1.0-r/src/columba/Core/org/columba/Core/gui/util;96;Technical Debt
TODO: implement this;URLController.java;columba-1.0-r/src/columba/Core/org/columba/Core/gui/util;103;Technical Debt
TODO: implement this;URLController.java;columba-1.0-r/src/columba/Core/org/columba/Core/gui/util;94;Technical Debt
TODO: i18n;DateChooserDialog.java;columba-1.0-r/src/columba/Core/org/columba/Core/gui/util;51;Technical Debt
TODO (@author fdietz): i18n;ErrorDialog.java;columba-1.0-r/src/columba/Core/org/columba/Core/gui/util;155;Technical Debt
TODO (@author fdietz): i18n;URLController.java;columba-1.0-r/src/columba/Core/org/columba/Core/gui/util;35;Technical Debt
TODO (@author fdietz): i18n;URLController.java;columba-1.0-r/src/columba/Core/org/columba/Core/gui/util;50;Technical Debt
TODO (@author fdietz): associate help with button and root pane;InfoViewerDialog.java;columba-1.0-r/src/columba/Core/org/columba/Core/gui/util;133;Technical Debt
Determine what day of week the first day of the month falls on. It's too  * bad we have to resort to this hack- the Java API provides no means of  * doing this any other way.;DateChooser.java;columba-1.0-r/src/columba/Core/org/columba/Core/gui/util;378-381;Technical Debt
* Resembles a JComboBox- using a JButton and a JMenu. This has the advantage  * that the user immediately sees all available items.  * <p>  * Use ItemListener to get notified of selection changes.  * <p>  * TODO (@author fdietz): use JComboBox button layout/ui  *   * @author fdietz;ComboMenu.java;columba-1.0-r/src/columba/Core/org/columba/Core/gui/util;34-43;Technical Debt
* Dialog showing an error message and the exception's stack trace on request.  * <p>  * TODO (@author fdietz): I've currently replaced MultiLineLabel with JLabel- because it totally   * destroys the layout. Somehow the MultiLineLabel doesn't respect the JDialog  * size.  *   * @author fdietz;ErrorDialog.java;columba-1.0-r/src/columba/Core/org/columba/Core/gui/util;50-58;Technical Debt
TODO (@author fdietz): fix the font settings for the content viewer;HelpManager.java;columba-1.0-r/src/columba/Core/org/columba/Core/help;92;Technical Debt
TODO Ristretto should handle the logging of streams in another way.;ColumbaLogger.java;columba-1.0-r/src/columba/Core/org/columba/Core/logging;102;Technical Debt
TODO (@author fdietz): only add console handler if command line option is given;ColumbaLogger.java;columba-1.0-r/src/columba/Core/org/columba/Core/logging;85;Technical Debt
* TODO (@author karlpeder): Guess that right thing to do is to get height as getDrawingSize().getHeight()-          * since this should take top- and bottom margin of this print          * object into account. But the height seems not to be set          * correctly in computePositionAndSize() (*20030604- karlpeder*);cHTMLPart.java;columba-1.0-r/src/columba/Core/org/columba/Core/print;132-137;Technical Debt
TODO (@author javaprog): better exception handling;ShutdownManager.java;columba-1.0-r/src/columba/Core/org/columba/Core/shutdown;160;Technical Debt
FIXME -- This will most likely not work.;XmlElement.java;columba-1.0-r/src/columba/Core/org/columba/Core/xml;235;Technical Debt
* Is this mailbox read-only?      * @return TODO      *;IMailbox.java;columba-1.0-r/src/mail/api/org/columba/mail/folder;271-275;Technical Debt
TODO: Should we take some action to ensure signature is valid;MessageComposer.java;columba-1.0-r/src/mail/Core/org/columba/mail/composer;328;Technical Debt
TODO (@author karlpeder): If existing meta tags are to be kept- code changes are;MessageComposer.java;columba-1.0-r/src/mail/Core/org/columba/mail/composer;308;Technical Debt
TODO (@author fdietz): Implement quoting (font color- stylesheet-;MessageBuilderHelper.java;columba-1.0-r/src/mail/Core/org/columba/mail/composer;374;Technical Debt
FIXME (@author karlpeder): Is 3.2 the proper version of html to refer to?;MessageComposer.java;columba-1.0-r/src/mail/Core/org/columba/mail/composer;282;Technical Debt
"*   * prepend ""> "" characters to the bodytext to specify we are quoting  *   * @param message  *            A <code>Message</code> which contains the bodytext of the  *            message we want reply/forward.  * @param html  *            True for html messages (a different quoting is necessary)  *   * TODO (@author fdietz): we should make this configureable  *";MessageBuilderHelper.java;columba-1.0-r/src/mail/Core/org/columba/mail/composer;353-365;Technical Debt
TODO: fix parser exception;AbstractLocalFolder.java;columba-1.0-r/src/mail/Core/org/columba/mail/folder;380;Technical Debt
TODO (@author fdietz): move this to AbstractMessageFolder constructor;AbstractLocalFolder.java;columba-1.0-r/src/mail/Core/org/columba/mail/folder;100;Technical Debt
TODO (@author fdietz): move this to AbstractMessageFolder constructor;AbstractRemoteFolder.java;columba-1.0-r/src/mail/Core/org/columba/mail/folder;42;Technical Debt
